run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R043_P01,P01,SILENT,20260830,True,2026-08-29T19:16:42.617944+00:00,2026-08-29T19:16:42.563903+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:16:42.839695+00:00,281.0,True,2026-08-29T19:16:46.622678+00:00,2026-08-29T19:16:46.666188+00:00,True,2026-08-29T19:16:46.745599+00:00,125.0,False,DETECTED_RECOVERY_OBSERVED,
R044_P01,P01,SILENT,20260830,True,2026-08-29T19:16:51.830107+00:00,2026-08-29T19:16:51.804240+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:16:52.303407+00:00,500.0,True,2026-08-29T19:16:55.834509+00:00,2026-08-29T19:16:55.854686+00:00,True,2026-08-29T19:16:56.244874+00:00,422.0,False,DETECTED_RECOVERY_OBSERVED,
R045_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:17:01.641272+00:00,2026-08-29T19:17:01.592804+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:17:01.721356+00:00,125.0,True,2026-08-29T19:17:05.646397+00:00,2026-08-29T19:17:05.665654+00:00,True,2026-08-29T19:17:05.681655+00:00,47.0,False,DETECTED_RECOVERY_OBSERVED,
R046_P01,P01,SILENT,20260830,True,2026-08-29T19:17:11.392541+00:00,2026-08-29T19:17:11.348692+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:17:11.752631+00:00,406.0,True,2026-08-29T19:17:15.398092+00:00,2026-08-29T19:17:15.423077+00:00,True,2026-08-29T19:17:15.658642+00:00,250.0,False,DETECTED_RECOVERY_OBSERVED,
R047_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:17:21.125309+00:00,2026-08-29T19:17:21.100310+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:17:21.186819+00:00,94.0,True,2026-08-29T19:17:25.129916+00:00,2026-08-29T19:17:25.143915+00:00,True,2026-08-29T19:17:25.649333+00:00,531.0,False,DETECTED_RECOVERY_OBSERVED,
R048_P01,P01,SILENT,20260830,True,2026-08-29T19:17:30.031314+00:00,2026-08-29T19:17:29.968403+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:17:30.217920+00:00,250.0,True,2026-08-29T19:17:34.036079+00:00,2026-08-29T19:17:34.043652+00:00,True,2026-08-29T19:17:34.152300+00:00,125.0,False,DETECTED_RECOVERY_OBSERVED,
R049_P03,P03,DELAYED,20260830,True,2026-08-29T19:17:39.331232+00:00,2026-08-29T19:17:39.276790+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:17:39.721782+00:00,438.0,True,2026-08-29T19:17:43.337602+00:00,2026-08-29T19:17:43.405804+00:00,True,2026-08-29T19:17:43.627291+00:00,281.0,False,DETECTED_RECOVERY_OBSERVED,
R050_P01,P01,SILENT,20260830,True,2026-08-29T19:17:48.858844+00:00,2026-08-29T19:17:48.828527+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:17:49.190553+00:00,360.0,True,2026-08-29T19:17:52.863605+00:00,2026-08-29T19:17:52.869604+00:00,True,2026-08-29T19:17:53.059385+00:00,203.0,False,DETECTED_RECOVERY_OBSERVED,
R051_P03,P03,DELAYED,20260830,True,2026-08-29T19:17:58.131630+00:00,2026-08-29T19:17:58.096786+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:17:58.662590+00:00,562.0,True,2026-08-29T19:18:02.137348+00:00,2026-08-29T19:18:02.332362+00:00,True,2026-08-29T19:18:02.585415+00:00,437.0,False,DETECTED_RECOVERY_OBSERVED,
R052_P01,P01,SILENT,20260830,True,2026-08-29T19:18:08.039527+00:00,2026-08-29T19:18:08.011511+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:18:08.134285+00:00,125.0,True,2026-08-29T19:18:12.044278+00:00,2026-08-29T19:18:12.110828+00:00,True,2026-08-29T19:18:12.560992+00:00,516.0,False,DETECTED_RECOVERY_OBSERVED,
R053_P01,P01,SILENT,20260830,True,2026-08-29T19:18:17.436600+00:00,2026-08-29T19:18:17.415014+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:18:17.610824+00:00,188.0,True,2026-08-29T19:18:21.442154+00:00,2026-08-29T19:18:21.501510+00:00,True,2026-08-29T19:18:21.533344+00:00,93.0,False,DETECTED_RECOVERY_OBSERVED,
